"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"컬러레이어 생성","Select AI","2","AI I/O Panel","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","AI를 사용하여 사용자가 원하는 브러시를 생성할 수 있습니다. ※ 이 기능을 사용하려면 AI 및 데이터 활용에 대한 동의가 필요합니다."
"컬러 팔레트","Color palette","5*2","추천 10 가지 색상 제공","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 눌러서 컬러 선택, 패널 상호작용 → 그립 홀딩으로 이동","AI가 추천하는 10가지 색상이 배치되어 있으며, 활성화된 패널에서 그립 버튼을 눌러 색상 위치를 변경할 수 있습니다."
"어시스트","Select AI","3","미정","미정","(기능 미정 – 향후 확장 가능)"
"가이드 툴","Function panel 1","하단 1","Guide Tool","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","창작을 도와주는 가이드 도구들이 모여 있는 패널이 제공됩니다."
"가이드 모음 패널","Guide Tool","3*2","각 칸의 가이드 모형 제공","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","다양한 가이드 모형을 선택해 배치한 후 사용할 수 있습니다."
"설정","Guide Tool","하단","설정 칸 제공","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","가이드 관련 세부 설정(간격, 투명도 등)을 조절할 수 있는 메뉴입니다."
"3D 도구 툴","Function panel 1","하단 2","Local storage(3D)","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","미리 저장된 3D 오브젝트를 꺼내와서 장면에 배치할 수 있는 기능입니다."
"3D 저장 공간","Local storage(3D)","3*X","미리 저장된 3D 객체 소환","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","미리 저장된 3D 모델들이 나열되며, 선택하여 소환할 수 있습니다."
"기본/프로","Function panel 1","하단 3","아이콘 바뀜","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","UI 또는 기능 구성을 기본 모드와 전문가 모드로 전환할 수 있는 버튼입니다."
"프로필","Function panel 2","상단 1","Login screen","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","로그인 화면으로 이동해 사용자 계정을 관리합니다."
"새스케치","Function panel 2","상단 2","Save question","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","새 스케치를 시작합니다. 시작하기 전 작업에 대해 저장여부를 확인 합니다."
"저장 질문","Function panel 2","","예 →Save View, 아니오 →메인 창작 화면","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","저장할지 여부를 선택할 수 있으며, 예 선택 시 저장할 수 있는 패널이 제공되며 아니오 선택 시 새스케치 화면으로 이동합니다."
